id	filename	md5	size	state
0c978002-6e44-491b-beaf-f1b87e6c2c1b	0c978002-6e44-491b-beaf-f1b87e6c2c1b/d58e28b2-7018-496a-b8f8-97446e57d25d.wxs.aliquot_ensemble_masked.maf.gz	63b0b961ad183c5b332e85bac7acb211	14497	validated
0d260c80-8a19-4d48-8ee1-6a4fb233d3bf	0d260c80-8a19-4d48-8ee1-6a4fb233d3bf/8725ba77-fa5e-4341-96e6-b50e95c238b6.wxs.aliquot_ensemble_masked.maf.gz	34fb9e48d3988b0d7f6bd209d16ece5b	25708	validated
0d8a690c-503b-4db2-9c6d-129a12001917	0d8a690c-503b-4db2-9c6d-129a12001917/11f40b02-24b1-4548-98c7-32d19172d7a4.wxs.aliquot_ensemble_masked.maf.gz	d87161f32277f923d0b1f49a30bb035d	24225	validated
0ddb96f5-835f-4653-be32-7272a248e00a	0ddb96f5-835f-4653-be32-7272a248e00a/dd38bc6b-723a-4368-afec-8070ee863432.wxs.aliquot_ensemble_masked.maf.gz	18b7b4d70100b9e6b23025a077f5b5c7	29625	validated
0e160d5a-1896-4bc3-89be-02550078b262	0e160d5a-1896-4bc3-89be-02550078b262/7c99dbf5-43a9-4854-83db-fef826e524a0.wxs.aliquot_ensemble_masked.maf.gz	4d237542da5a15efc7b192849f551554	24842	validated
10b81151-18ef-4fb8-bc25-712e8b2943ad	10b81151-18ef-4fb8-bc25-712e8b2943ad/3f8fa2dc-a7d1-41fa-9588-95d4b41c00dc.wxs.aliquot_ensemble_masked.maf.gz	67f1460abc9b18de20c4539e46c3a8da	2699	validated
10c42f7f-29aa-4e20-ba4a-b19d807ef40e	10c42f7f-29aa-4e20-ba4a-b19d807ef40e/21b9f3ba-edcc-4640-9ddd-e8f60ec456f3.wxs.aliquot_ensemble_masked.maf.gz	fef2356ed7c4cd4056eb23a068133b77	14043	validated
12ebb080-e96e-4145-a1c6-91df8bf6cb45	12ebb080-e96e-4145-a1c6-91df8bf6cb45/291a0b37-7272-41b8-b861-db88fdb9d283.wxs.aliquot_ensemble_masked.maf.gz	8e255080dbf48f55db61fba62dc53526	37012	validated
1307df0a-7e36-48c5-9bcc-5dd809293e30	1307df0a-7e36-48c5-9bcc-5dd809293e30/896c8e4c-4a7a-4a01-af20-aee0203c46f0.wxs.aliquot_ensemble_masked.maf.gz	85e7197b43d2c6750f537cb4f7e42278	54268	validated
13977324-1ded-4b06-8b6f-5605742d8d8d	13977324-1ded-4b06-8b6f-5605742d8d8d/1f93d367-b004-47de-884c-b093cc01b0b0.wxs.aliquot_ensemble_masked.maf.gz	edb61da7a6525b43cdba20e185ff1764	17365	validated
